Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Mobile_SauceDemo_CoreFlow,,,,09-02-2026 11:07:30,09-02-2026 11:10:34,3m - 3.467s,PASSED
,,,,,,,
Test Cases/Authentication/AUT-TC-P001_Success login,,,,09-02-2026 11:07:31,09-02-2026 11:08:05,33.768s,PASSED
validUserName = userName,,,,09-02-2026 11:07:31,09-02-2026 11:07:32,0.151s,PASSED
validPassword = password,,,,09-02-2026 11:07:32,09-02-2026 11:07:32,0.002s,PASSED
startExistingApplication(appId),,,,09-02-2026 11:07:32,09-02-2026 11:07:52,19.975s,PASSED
"auth.Auth.login(validUserName, validPassword)",,,,09-02-2026 11:07:52,09-02-2026 11:08:01,9.785s,PASSED
"verifyElementText(findTestObject(""Mobile/Android/Product/Texts/txt_products""), ""PRODUCTS"")",,,,09-02-2026 11:08:01,09-02-2026 11:08:03,1.508s,PASSED
"waitForElementPresent(findTestObject(""Mobile/Android/Product/Images/img_burger_menu""), 15)",,,,09-02-2026 11:08:03,09-02-2026 11:08:03,0.374s,PASSED
"waitForElementPresent(findTestObject(""Mobile/Android/Product/Images/img_cart""), 15)",,,,09-02-2026 11:08:03,09-02-2026 11:08:04,0.452s,PASSED
"waitForElementPresent(findTestObject(""Mobile/Android/Product/Lists/lst_products""), 15)",,,,09-02-2026 11:08:04,09-02-2026 11:08:04,0.374s,PASSED
closeApplication(),,,,09-02-2026 11:08:04,09-02-2026 11:08:05,0.651s,PASSED
,,,,,,,
Test Cases/Product/PRD-TC-P001_Add product to cart,,,,09-02-2026 11:08:05,09-02-2026 11:08:29,23.889s,PASSED
username = userName,,,,09-02-2026 11:08:05,09-02-2026 11:08:05,0.004s,PASSED
password = password,,,,09-02-2026 11:08:05,09-02-2026 11:08:05,0.003s,PASSED
"startExistingApplication(appId, STOP_ON_FAILURE)",,,,09-02-2026 11:08:05,09-02-2026 11:08:15,10.476s,PASSED
"auth.Auth.login(username, password)",,,,09-02-2026 11:08:15,09-02-2026 11:08:25,9.914s,PASSED
product.Cart.addProductToCart(),,,,09-02-2026 11:08:25,09-02-2026 11:08:27,1.765s,PASSED
"verifyElementExist(findTestObject(""Mobile/Android/Product/Actions/act_remove""), 15)",,,,09-02-2026 11:08:27,09-02-2026 11:08:28,0.873s,PASSED
closeApplication(),,,,09-02-2026 11:08:28,09-02-2026 11:08:29,0.637s,PASSED
,,,,,,,
Test Cases/Product/PRD-TC-P002_Remove product from cart,,,,09-02-2026 11:08:29,09-02-2026 11:08:53,24.418s,PASSED
username = userName,,,,09-02-2026 11:08:29,09-02-2026 11:08:29,0.002s,PASSED
password = password,,,,09-02-2026 11:08:29,09-02-2026 11:08:29,0.001s,PASSED
"startExistingApplication(appId, STOP_ON_FAILURE)",,,,09-02-2026 11:08:29,09-02-2026 11:08:39,10.514s,PASSED
"auth.Auth.login(username, password)",,,,09-02-2026 11:08:39,09-02-2026 11:08:49,9.294s,PASSED
product.Cart.addProductToCart(),,,,09-02-2026 11:08:49,09-02-2026 11:08:50,1.716s,PASSED
product.Cart.removeProductFromCart(),,,,09-02-2026 11:08:50,09-02-2026 11:08:52,1.216s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Mobile/Android/Product/Actions/act_add_to_cart""), 15)",,,,09-02-2026 11:08:52,09-02-2026 11:08:52,0.869s,PASSED
closeApplication(),,,,09-02-2026 11:08:52,09-02-2026 11:08:53,0.632s,PASSED
,,,,,,,
Test Cases/Checkout/CKT-TC-P001_Success checkout product,,,,09-02-2026 11:08:53,09-02-2026 11:09:39,46.275s,PASSED
username = userName,,,,09-02-2026 11:08:53,09-02-2026 11:08:53,0.003s,PASSED
password = password,,,,09-02-2026 11:08:53,09-02-2026 11:08:53,0.003s,PASSED
firstname = firstName,,,,09-02-2026 11:08:53,09-02-2026 11:08:53,0.002s,PASSED
lastname = lastName,,,,09-02-2026 11:08:53,09-02-2026 11:08:53,0.003s,PASSED
postalcode = postalcode,,,,09-02-2026 11:08:53,09-02-2026 11:08:53,0.002s,PASSED
"startExistingApplication(appId, STOP_ON_FAILURE)",,,,09-02-2026 11:08:53,09-02-2026 11:09:09,15.464s,PASSED
"auth.Auth.login(username, password)",,,,09-02-2026 11:09:09,09-02-2026 11:09:18,9.448s,PASSED
product.Cart.addProductToCart(),,,,09-02-2026 11:09:18,09-02-2026 11:09:20,1.683s,PASSED
product.Cart.openCart(),,,,09-02-2026 11:09:20,09-02-2026 11:09:21,1.333s,PASSED
checkout.Checkout.startCheckout(),,,,09-02-2026 11:09:21,09-02-2026 11:09:23,1.349s,PASSED
"checkout.Checkout.fillInfromationAndContinueCheckout(firstname, lastname, postalcode)",,,,09-02-2026 11:09:23,09-02-2026 11:09:34,11.651s,PASSED
checkout.Checkout.finishCheckout(),,,,09-02-2026 11:09:34,09-02-2026 11:09:36,1.815s,PASSED
"waitForElementPresent(findTestObject(""Mobile/Android/Checkout/Images/img_success_transaction""), 15)",,,,09-02-2026 11:09:36,09-02-2026 11:09:37,0.669s,PASSED
"verifyElementText(findTestObject(""Mobile/Android/Checkout/Texts/txt_checkout_complete""), ""CHECKOUT: COMPLETE!"")",,,,09-02-2026 11:09:37,09-02-2026 11:09:38,1.106s,PASSED
"verifyElementText(findTestObject(""Mobile/Android/Checkout/Texts/txt_title_success_transaction""), ""THANK YOU FOR YOU ORDER"")",,,,09-02-2026 11:09:38,09-02-2026 11:09:38,0.481s,PASSED
"verifyElementText(findTestObject(""Mobile/Android/Checkout/Texts/txt_desc_success_transaction""), ""Your order has been dispatched, and will arrive just as fast as the pony can get there!"")",,,,09-02-2026 11:09:38,09-02-2026 11:09:39,0.326s,PASSED
closeApplication(),,,,09-02-2026 11:09:39,09-02-2026 11:09:39,0.732s,PASSED
,,,,,,,
Test Cases/Authentication/AUT-TC-P002_Success logout,,,,09-02-2026 11:09:39,09-02-2026 11:10:09,29.749s,PASSED
validUserName = userName,,,,09-02-2026 11:09:39,09-02-2026 11:09:39,0.003s,PASSED
validPassword = password,,,,09-02-2026 11:09:39,09-02-2026 11:09:39,0.004s,PASSED
startExistingApplication(appId),,,,09-02-2026 11:09:39,09-02-2026 11:09:53,13.166s,PASSED
"auth.Auth.login(validUserName, validPassword)",,,,09-02-2026 11:09:53,09-02-2026 11:10:03,9.922s,PASSED
auth.Logout.logout(),,,,09-02-2026 11:10:03,09-02-2026 11:10:06,3.870s,PASSED
"waitForElementPresent(findTestObject(""Mobile/Android/Authentication/Login/Texts/txt_login""), 15)",,,,09-02-2026 11:10:06,09-02-2026 11:10:07,0.819s,PASSED
"verifyElementText(findTestObject(""Mobile/Android/Authentication/Login/Texts/txt_login""), ""LOGIN"")",,,,09-02-2026 11:10:07,09-02-2026 11:10:08,1.151s,PASSED
closeApplication(),,,,09-02-2026 11:10:08,09-02-2026 11:10:09,0.664s,PASSED
,,,,,,,
Test Cases/Authentication/AUT-TC-N001_Failed login with locked credential,,,,09-02-2026 11:10:09,09-02-2026 11:10:34,24.798s,PASSED
lockedUserName = lockedOutUserName,,,,09-02-2026 11:10:09,09-02-2026 11:10:09,0.006s,PASSED
password = password,,,,09-02-2026 11:10:09,09-02-2026 11:10:09,0.004s,PASSED
"startExistingApplication(appId, STOP_ON_FAILURE)",,,,09-02-2026 11:10:09,09-02-2026 11:10:23,13.252s,PASSED
"auth.Auth.loginUseLockedCred(lockedUserName, password)",,,,09-02-2026 11:10:23,09-02-2026 11:10:32,9.463s,PASSED
"verifyElementText(findTestObject(""Mobile/Android/Authentication/Login/Texts/txt_locked_user""), ""Sorry, this user has been locked out."")",,,,09-02-2026 11:10:32,09-02-2026 11:10:33,1.244s,PASSED
closeApplication(),,,,09-02-2026 11:10:33,09-02-2026 11:10:34,0.630s,PASSED
